,Topology,Rod,Node,Edge,LCD,PLD,VSA,GSA,VF,p=65(GPU),p=65(RASPA)
cds+UTEXAT_new_16_18++E47,cds,UTEXAT_new_16_18,-1,E47,15.27958,15.27958,1622.94,3015.5,0.70975,221.72186299999998,228.04700643389998
cds+UTEXAT_new_16_18++E4,cds,UTEXAT_new_16_18,-1,E4,12.08619,12.08619,2112.25,4153.48,0.74285,198.210495,206.96605010529998
cds+UTEXAT_new_16_18++E53,cds,UTEXAT_new_16_18,-1,E53,12.12433,12.12433,1833.43,2575.61,0.6715,218.290039,224.69769837869998
cds+UTEXAT_new_16_18++E57,cds,UTEXAT_new_16_18,-1,E57,10.069930000000001,10.0696,1947.39,2704.36,0.6654,200.813858,207.10393103549998
cds+UTEXAT_new_16_18++E5,cds,UTEXAT_new_16_18,-1,E5,12.36482,12.36482,1801.61,2818.6,0.6576,217.706497,224.8649084684
cds+UTEXAT_new_16_18++E63,cds,UTEXAT_new_16_18,-1,E63,6.79673,6.79673,2329.48,2595.8,0.55075,199.030426,208.31847953599998
cds+UTEXAT_new_16_18++E66,cds,UTEXAT_new_16_18,-1,E66,9.44256,9.44256,1922.14,2243.45,0.6174,201.78988600000002,207.59459247990003
cds+UTEXAT_new_16_18++E68,cds,UTEXAT_new_16_18,-1,E68,13.6492,13.6492,1738.6,2717.29,0.6902,219.90301499999998,225.2220010359
cds+UTEXAT_new_16_18++E71,cds,UTEXAT_new_16_18,-1,E71,7.1829600000000005,7.1829600000000005,2102.24,2478.13,0.50945,189.77066000000002,196.040756369
cds+UTEXAT_new_16_18++E73,cds,UTEXAT_new_16_18,-1,E73,8.015830000000001,8.015830000000001,2061.77,2399.41,0.5501,190.54896499999998,197.84156237599998
cds+UTEXAT_new_16_18++E77,cds,UTEXAT_new_16_18,-1,E77,12.47066,12.46947,1819.71,3429.96,0.6703,188.205444,194.1206568205
cds+UTEXAT_new_16_18++E78,cds,UTEXAT_new_16_18,-1,E78,12.62659,12.62659,2096.9,4016.4,0.70225,197.971191,206.10223028529998
cds+UTEXAT_new_16_18++E80,cds,UTEXAT_new_16_18,-1,E80,13.15678,13.15678,1808.41,3230.73,0.68565,199.57527199999998,204.7119074367
cds+UTEXAT_new_16_18++E81,cds,UTEXAT_new_16_18,-1,E81,7.47008,7.47008,2179.98,2536.42,0.5467,193.90631100000002,202.7017390711
cds+UTEXAT_new_16_18++E82,cds,UTEXAT_new_16_18,-1,E82,15.65221,15.65221,1681.64,2629.29,0.7146,189.16670200000002,195.3522113713
cds+UTEXAT_new_16_18++E8,cds,UTEXAT_new_16_18,-1,E8,11.82971,11.82971,1783.42,2550.89,0.6713,223.731369,230.59439351880002
cds+UTEXAT_new_16_18++E92,cds,UTEXAT_new_16_18,-1,E92,6.60279,6.60279,2026.87,2155.88,0.5245,189.339722,201.1189566412
cds+UTEXAT_new_16_18++E96,cds,UTEXAT_new_16_18,-1,E96,11.085460000000001,11.085460000000001,2479.22,4325.65,0.7066,213.09410099999997,222.2529871449
cds+UTEXAT_new_16_18++E97,cds,UTEXAT_new_16_18,-1,E97,14.65135,14.65135,1652.63,3463.25,0.7289,206.527161,215.54398087290002
cds+UTEXAT_new_16_18++E98,cds,UTEXAT_new_16_18,-1,E98,12.87607,12.87607,1969.99,3627.99,0.6768,188.00148000000002,197.4074659742
cds+YEMLOS_cds_10_11++E224,cds,YEMLOS_cds_10_11,-1,E224,7.7953800000000015,7.7953800000000015,2280.35,2619.38,0.55115,194.608994,204.14509033939999
cds+YEMLOS_cds_10_11++E81,cds,YEMLOS_cds_10_11,-1,E81,6.8318,6.8318,2321.53,2405.11,0.5482,189.028748,194.1884033691
